Date,PM2.5,PM10,NO2,CO,SO2,O3,AQI
28-03-2020,36.17,67.08,11.67,0.39,6.39,36.97,70
29-03-2020,42.07,75.41,19.37,0.47,4.71,36.94,75
30-03-2020,34.79,65.96,19.35,0.41,7.11,36.78,72
31-03-2020,42.42,72.92,19.9,0.49,7.31,37.4,68
01-04-2020,47.96,83.65,19.98,0.65,6.64,35.46,87
02-04-2020,48.05,80.7,19.75,0.55,6.67,33.65,88
03-04-2020,38.13,69.42,18.95,0.51,9.04,31.37,73
04-04-2020,37.34,72.16,21.26,0.5,8.46,26.57,67
05-04-2020,30.18,57.17,16.71,0.44,8.36,27.81,66
06-04-2020,27.87,64.99,18.52,0.66,8.47,25.48,64
07-04-2020,19.76,39.6,22.67,0.8,8.49,34.09,77
08-04-2020,19.94,43.45,20.46,0.41,11.06,36.03,56
09-04-2020,29.36,61.5,25.74,0.51,9.14,29.65,59
10-04-2020,18.95,36.93,31.96,0.52,6.51,28.05,62
11-04-2020,23.99,43.01,27.24,0.38,6.21,23.3,55
12-04-2020,33.4,59.02,21.68,0.4,4.25,24.1,61
13-04-2020,35.21,66.35,18.03,0.41,3.48,29.34,68
14-04-2020,38.07,78.8,19.72,0.38,4.27,33.8,74
15-04-2020,33.99,68.75,18.3,0.41,4.36,34.56,74
16-04-2020,37.13,68.87,18.82,0.49,4.19,33.93,70
17-04-2020,38.44,75.93,21.35,0.51,5.07,29.02,74
18-04-2020,35.67,63.08,25.01,0.5,4.46,24.66,75
19-04-2020,30.21,61.21,24.42,0.38,5.75,24.31,67
20-04-2020,26.47,57.08,25.39,0.38,6.01,21.8,58
21-04-2020,22.83,42.44,29.99,0.5,6.64,20.2,54
22-04-2020,25.12,46.3,26.18,0.39,4.56,23.58,50
23-04-2020,27.57,62.7,24.7,0.45,4.88,23.42,53
24-04-2020,28.99,54.72,22.09,0.44,4.43,23.95,63
25-04-2020,31.76,72.38,24.4,0.46,5.65,24.59,62
26-04-2020,29.9,59.77,20.64,0.42,4.27,25.52,71
27-04-2020,23.51,56.45,21.98,0.44,3.83,26.87,56
28-04-2020,23.36,53.68,19.73,0.39,3.72,23.68,56
29-04-2020,16.03,37.73,22.21,0.41,3.67,29.77,51
30-04-2020,21.12,54.39,24.27,0.6,4.03,32.53,59
01-05-2020,22.69,53.46,22.43,0.64,4.27,27.21,67
02-05-2020,24.62,51.4,25.22,0.54,5.59,30.87,54
03-05-2020,33.03,80.72,26.32,0.49,5.04,30.42,70
04-05-2020,28.18,69.69,22.57,0.48,4.59,32.53,77
05-05-2020,31.36,75.39,24.86,0.45,4.17,32.74,71
06-05-2020,25.18,59.71,21.51,0.52,4.45,31.28,73
07-05-2020,26.84,58.71,21.67,0.41,4.3,26.6,59
08-05-2020,27.46,66.53,22.97,0.45,4.84,29.18,65
09-05-2020,29.56,61.16,21.1,0.37,5.41,31.69,69
10-05-2020,28.15,47.77,26.08,0.43,5.02,26.82,65
11-05-2020,38.65,82.55,30.29,0.53,7.01,27.77,83
12-05-2020,32.09,62.6,27.82,0.47,6.05,24.41,74
13-05-2020,24.1,54.77,24.07,0.38,4.61,25.87,64
14-05-2020,25.06,53.65,21.85,0.35,5.29,25.8,60
15-05-2020,24.12,56.89,23.33,0.34,5.38,27.84,60
16-05-2020,27.65,61.38,26.37,0.46,6.32,30.88,67
17-05-2020,32.47,72.72,28.5,0.49,5.87,31.95,70
18-05-2020,31.05,71.9,27.66,0.43,7.55,35.11,72
19-05-2020,42.41,122.45,30.17,0.52,9.4,33.8,93
20-05-2020,36.62,134.25,31.45,0.44,10.5,29.47,106
21-05-2020,31.59,118.03,33.69,0.43,11.4,32.1,109
22-05-2020,39.91,137.19,38.9,0.68,8.55,28.72,114
23-05-2020,44.09,147.59,35.83,0.62,8.65,35.2,122
24-05-2020,41.03,124.09,26.38,0.52,6.61,43.37,116
25-05-2020,33.07,97.27,22.72,0.44,5.94,38.23,102
26-05-2020,32.51,85.85,23.19,0.45,6.32,37.5,89
27-05-2020,28.66,90.2,24.26,0.44,5.46,40.38,87
28-05-2020,26.7,96.67,26.37,0.41,5.65,32.09,86
29-05-2020,21.07,79.56,24.05,0.34,6.1,30.78,84
30-05-2020,18.56,60.6,23.9,0.33,5.49,32.56,65
31-05-2020,25.17,60.07,27.75,0.43,4.66,25.41,67
01-06-2020,30,54.63,30.48,0.42,5.23,30.2,55
02-06-2020,16.47,31.29,23.75,0.33,4.36,29.86,79
03-06-2020,11.74,24.32,20.72,0.34,5.12,18.84,38
04-06-2020,13.93,28.72,18.89,0.3,5.56,21.39,33
05-06-2020,19.57,52.74,22.78,0.3,6.89,20.05,38
06-06-2020,23.02,74.58,20.88,0.29,10.04,17.59,58
07-06-2020,19.49,59.86,18,0.3,9.34,17.98,64
08-06-2020,20.2,68.79,19.5,0.32,9.69,16.57,54
09-06-2020,17.96,56.02,19.43,0.31,9.15,20.04,57
10-06-2020,20.26,42.43,21.57,0.28,5.72,17.59,48
11-06-2020,19.96,45.14,23.97,0.27,6.7,13.48,42
12-06-2020,17.19,35.96,21.01,0.28,6.02,15.47,42
13-06-2020,9.87,23.48,19.35,0.29,5.32,16.2,38
14-06-2020,9.8,22.79,19.97,0.26,6.34,17.74,32
15-06-2020,13.53,31.78,19.95,0.31,6.19,15.24,33
16-06-2020,10.31,20.76,17.7,0.31,5.28,13.05,31
17-06-2020,10.31,20.97,18.86,0.28,5.7,14.37,29
18-06-2020,14.04,33.09,18.92,0.26,5.94,13.99,30
19-06-2020,20.19,55.14,20.73,0.27,7.96,12.04,37
20-06-2020,22.5,63.77,19.96,0.26,7.71,13.86,52
21-06-2020,24,72.01,21.8,0.25,8.15,14.47,56
22-06-2020,22.91,68.3,21.71,0.26,7.86,15.94,60
23-06-2020,22.36,56.6,22.45,0.32,6.56,16.49,51
24-06-2020,21.25,45.4,24.72,0.36,5.26,20.81,51
25-06-2020,22.41,46.29,25.42,0.35,5.16,23.48,52
26-06-2020,27.05,54.96,21.78,0.34,5.03,24.41,52
27-06-2020,23.29,44.2,22.64,0.36,5.39,24.22,58
28-06-2020,15.8,32.18,22.73,0.36,6.36,22.25,49
29-06-2020,20.24,44.74,27.59,0.38,6.29,19.98,47
30-06-2020,19.38,41.95,24.58,0.39,5.3,17.4,46
01-07-2020,26.83,66.5,27.18,0.43,6.07,13.2,48
